File Name,num_detection_circle,diameters,num_detection_square,wwtp_area_square
5827.png,4,[     54.593      54.409      29.341      25.747],5,[     2777.2        1405      1175.4      476.42        2181]
5828.png,3,[     46.626      46.665      48.384],0,[]
5829.png,0,[],4,[     4303.5      7465.9      500.67      6956.7]
5830.png,6,[     23.029      34.067      31.113      23.804      31.113      34.067],4,[     3665.9       16889      640.46      532.05]
5831.png,0,[],4,[     145.49      584.83      138.36       151.2]
5832.png,2,[     15.483      14.262],2,[     2423.5      249.62]
5833.png,2,[     15.483      14.262],2,[     2423.5      249.62]
5834.png,2,[     15.483      14.262],2,[     2423.5      249.62]
5835.png,0,[],5,[     435.06      442.19      1969.9      2718.8       982.8]
5836.png,0,[],1,[     507.81]
5837.png,0,[],3,[     195.42      1360.8      370.87]
5838.png,5,[     26.852      34.831      19.342      27.652      35.909],4,[     1797.3       426.5      610.51       599.1]
5839.png,2,[     72.122      72.448],1,[     161.19]
5840.png,0,[],4,[       2723       58171      1499.2      1489.2]
5841.png,6,[     32.231      32.259      15.946      18.576      15.425      15.483],2,[       2171      614.79]
5842.png,1,[     50.262],5,[     1473.5      3638.8      1754.5      3638.8      1754.5]
5843.png,1,[      50.19],4,[     1480.6      546.32      2510.5      5494.6]
5844.png,2,[     39.727      39.429],1,[     6963.8]
5845.png,2,[     60.899       58.82],0,[]
5846.png,0,0,0,[0]
5847.png,0,0,0,[0]
5848.png,0,0,0,[0]
5849.png,2,[     36.136      36.161],0,[]
5850.png,2,[     26.784      26.919],1,[     1885.7]
5851.png,5,[     36.882      34.385      26.886      21.478      21.478],1,[     730.33]
5852.png,4,[     67.987       67.45      31.691      15.658],5,[     1564.8       10185      974.25      193.99      1738.8]
5853.png,0,[],1,[     854.43]
5854.png,0,[],1,[     1078.4]
5855.png,0,[],2,[     1116.9      246.77]
5856.png,4,[     15.658      26.374      16.284      24.666],1,[     2865.7]
5857.png,2,[     23.766      24.108],1,[     616.21]
5858.png,0,[],1,[      901.5]
5859.png,0,0,0,[0]
5860.png,2,[     45.959      43.062],4,[       4653      2052.6      2674.5      951.42]
5861.png,0,[],4,[     2089.7      624.77      138.36      1168.2]
5862.png,0,0,0,[0]
5863.png,0,[],2,[     1300.9      4768.5]
5864.png,0,[],4,[     1750.2      4129.5      3814.2      9174.7]
5865.png,0,0,0,[0]
5866.png,0,0,0,[0]
5867.png,0,[],1,[       2927]
5868.png,0,[],1,[       2927]
5869.png,0,[],1,[       2927]
5870.png,0,[],1,[       2927]
5871.png,0,[],3,[     493.54      1939.9      4250.7]
5872.png,0,[],1,[       1201]
5873.png,4,[     40.654      55.794      40.159      54.941],1,[     231.08]
5874.png,4,[     33.038      33.093      57.714      57.049],3,[     6467.4      3601.7      3487.6]
5875.png,2,[     58.417      57.839],3,[       2201      827.32      590.54]
5876.png,1,[     17.828],3,[     1209.6      186.86      128.38]
5877.png,1,[     14.134],1,[     460.73]
5878.png,2,[     15.127      14.946],2,[      880.1      817.34]
5879.png,4,[      20.26      21.393      17.674      16.886],2,[     676.12      768.84]
5880.png,0,[],2,[      556.3      855.85]
5881.png,0,[],5,[     8749.7      1514.9      1018.5      2183.9      1969.9]
5882.png,0,[],1,[     162.61]
5883.png,6,[     35.732      35.579       40.34      36.981      37.103      43.188],1,[     2611.8]
5884.png,3,[     45.141      32.316      30.967],0,[]
5885.png,1,[     17.726],1,[     1941.4]
5886.png,1,[     17.726],1,[     1941.4]
5887.png,0,0,0,[0]
