HW_unique_ID,HW_2014_ORG_ID,CWNS_2016_ID,CWNS_2022_ID,new since 2014,closed since 2014,Latitude,Longitude,Facility_Name,HW POP 2014,EPA POP 2016,EPA POP 2022,EPA Treated POP 2022,EPA POP TYPE 2022
25101,1000162001,1000162001,1000162001,,,34.8604,-85.8333,STEVENSON WWTP,1976.0,1976.0,2326.0,2326.0,Receiving Collection
25102,1000165003,1000165003,1000165003,,,33.223037,-86.250922,SYLACAUGA FAIRMONT WWTP,800.0,800.0,629.0,629.0,Receiving Collection
25103,1000168001,1000168001,1000168001,,,33.4725,-86.0617,TALLADEGA BRECON WWTP,979.0,979.0,1700.0,1700.0,Receiving Collection
25104,1000168003,1000168003,1000168003,,,33.4101,-86.1267,TALLADEGA MAIN WWTP,8802.0,8802.0,13000.0,13000.0,Receiving Collection
25105,1000168004,1000168004,nan,,,33.4102,-86.1268,TALLADEGA NIKI-LU WWTP,1500.0,1500.0,,,
25106,1000168005,1000168005,1000168005,,,33.5708,-86.0625,TALLADEGA AIRPORT IND. WWTP,980.0,980.0,1200.0,1200.0,Receiving Collection
25107,1000169001,1000169001,1000169001,,,32.5156,-85.8933,TALLASSEE LAGOON,3950.0,3950.0,4808.0,4808.0,Receiving Collection
25108,1000174001,1000174001,1000174001,,,31.7692,-85.9261,TROY WALNUT CREEK WWTP,17000.0,17000.0,19500.0,19500.0,Receiving Collection
25109,1000176001,1000176001,1000176001,,,33.172,-87.5637,TUSCALOOSA WWTP,135000.0,135000.0,100618.0,100618.0,Receiving Collection
25110,1000177001,1000177001,1000177001,,,34.7317,-87.7136,TUSCUMBIA WWTP,8435.0,8435.0,9054.0,9054.0,Receiving Collection
25111,1000178006,1000178006,nan,,,32.35,-85.7528,TUSKEGEE SOUTH WWTP,2917.0,2917.0,,,
25112,1000178007,1000178007,1000178007,,,32.471924,-85.851784,TUSKEGEE NORTH Collection and WWTP ,5833.0,5833.0,8469.0,8469.0,Receiving Collection
25113,1000186001,1000186001,1000186001,,,33.3151,-85.4821,WEDOWEE LAGOON,823.0,823.0,720.0,720.0,Receiving Collection
25114,1000188003,1000188003,1000188003,,,32.5227,-86.2209,WETUMPKA WWTP,6000.0,6000.0,6400.0,6400.0,Receiving Collection
25115,1000190001,1000190001,1000190001,,,33.2354,-86.4802,WILSONVILLE WWTP,270.0,270.0,1873.0,1873.0,Receiving Collection
25116,1000192001,1000192001,1000192001,,,33.9205,-87.8224,WINFIELD WWTP,2728.0,2728.0,2915.0,2915.0,Receiving Collection
25117,1000196001,1000196001,1000196001,,,32.4323,-84.9711,Phenix City WWTP,27473.0,27473.0,28847.0,28847.0,Receiving Collection
25118,1000197007,1000197007,1000197007,,,33.7142,-86.6989,Jefferson County-Turkey Creek WWTP,12499.0,12499.0,20468.0,20468.0,Receiving Collection
25119,1000197011,1000197011,1000197011,,,33.61976,-86.60356,Jefferson County-Trussville WWTP ,12499.0,12499.0,15609.0,15609.0,Receiving Collection
25120,1000197023,1000197023,1000197023,,,33.8081,-86.8319,Jefferson County-Warrior WWTP,375.0,375.0,1313.0,1313.0,Receiving Collection
25121,1000198001,1000198001,1000198001,,,33.2874,-86.791,Pelham WWTP,16739.0,16739.0,24688.0,24688.0,Receiving Collection
25122,1000201001,1000201001,1000201001,,,32.797797,-85.156501,LOWER VALLEY WWTP,6699.0,6699.0,7034.0,7034.0,Receiving Collection
25123,1000203001,1000203001,1000203001,,,30.2634,-88.1159,DAUPHIN ISLAND WWTP,4678.0,4678.0,1820.0,1820.0,Receiving Collection
25124,1000205001,1000205001,1000205001,,,34.272222,-86.190556,ALBERTVILLE EASTSIDE WWTP,18280.0,18280.0,21541.0,21541.0,Receiving Collection
25125,1000207002,1000207002,1000207002,,,33.0973,-88.1787,ALICEVILLE WEST LAGOON,1971.0,1971.0,2670.0,2670.0,Receiving Collection
25126,1000209001,1000209001,1000209001,,,31.6066,-85.7424,ARITON LAGOON,350.0,350.0,804.0,804.0,Receiving Collection
25127,1000210000,1000210000,nan,,,30.4631,-87.4803,Blackwater WWTP,9850.0,9850.0,,,
25128,1000211001,1000211001,1000211001,,,33.2742,-85.8101,ASHLAND WWTP,1114.0,1114.0,1969.0,1969.0,Receiving Collection
25129,1000212000,1000212000,1000212000,,,33.835194,-86.784278,Blount County West Lagoon,2530.0,2530.0,32.0,32.0,Receiving Collection
25130,1000212001,1000212001,1000212001,,,33.849444,-86.257778,ASHVILLE LAGOON,1200.0,1200.0,2309.0,2309.0,Receiving Collection
25131,1000213001,1000213001,1000213001,,,31.0166,-87.516,West Escambia Sewer Authority WWTP,8000.0,8000.0,8688.0,8688.0,Receiving Collection
25132,1000221001,1000221001,1000221001,,,33.6463,-87.5959,BERRY WWTF-Lagoon & Sprayfield,625.0,625.0,1080.0,1080.0,Receiving Collection
25133,1000224001,1000224001,1000224001,,,34.0794,-86.6086,BLOUNTSVILLE HCR SYSTEM,1687.0,1687.0,1600.0,1600.0,Receiving Collection
25134,1000230001,1000230001,1000230001,,,31.5882,-86.2581,BRANTLEY LAGOON,800.0,800.0,903.0,903.0,Receiving Collection
25135,1000231001,1000231001,1000231001,,,34.9368,-85.7054,Bridgeport Lagoon,2046.0,2046.0,2300.0,2300.0,Receiving Collection
25136,1000232001,1000232001,1000232001,,,34.0254,-87.7473,BRILLIANT WWTP,500.0,500.0,525.0,525.0,Receiving Collection
25137,1000233001,1000233001,1000233001,,,31.7048,-85.8367,BRUNDIDGE WWTP,2070.0,2070.0,2174.0,2174.0,Receiving Collection
25138,1000234001,1000234001,1000234001,,,32.0617,-88.2121,BUTLER WWTP,1644.0,1644.0,1871.0,1871.0,Receiving Collection
25139,1000235001,1000235001,1000235001,,,31.978,-87.2943,Camden South WWTP,2020.0,2020.0,1800.0,1800.0,Receiving Collection
25140,1000235003,1000235003,1000235003,,,32.0292,-87.3125,Camden North WWTP,2020.0,2020.0,1200.0,1200.0,Receiving Collection
