WASTE_ID,LAT_WWTP,LON_WWTP,POP_SERVED,geometry
40075,-23.881,-53.91,6934,"POLYGON ((-53.82016847158805 -23.963114803334413, -53.82016847158805 -23.798833059560614, -53.99983152841195 -23.798833059560614, -53.99983152841195 -23.963114803334413, -53.82016847158805 -23.963114803334413))"
40076,-23.151,-52.321,7010,"POLYGON ((-52.23116847158804 -23.23357208630581, -52.23116847158804 -23.06837699964524, -52.41083152841195 -23.06837699964524, -52.41083152841195 -23.23357208630581, -52.23116847158804 -23.23357208630581))"
40078,-25.906,-53.485,8944,"POLYGON ((-53.395168471588036 -25.986776845086425, -53.395168471588036 -25.825167804657347, -53.57483152841195 -25.825167804657347, -53.57483152841195 -25.986776845086425, -53.395168471588036 -25.986776845086425))"
40079,-23.034,-50.211,3265,"POLYGON ((-50.12116847158804 -23.116644133630363, -50.12116847158804 -22.951305151439428, -50.300831528411955 -22.951305151439428, -50.300831528411955 -23.116644133630363, -50.12116847158804 -23.116644133630363))"
40080,-23.069,-50.239,7600,"POLYGON ((-50.14916847158804 -23.15162261709085, -50.14916847158804 -22.986326608324685, -50.328831528411946 -22.986326608324685, -50.328831528411946 -23.15162261709085, -50.14916847158804 -23.15162261709085))"
40081,-23.577,-51.475,25316,"POLYGON ((-51.38516847158805 -23.659306855943274, -51.38516847158805 -23.494641512210954, -51.56483152841195 -23.494641512210954, -51.56483152841195 -23.659306855943274, -51.38516847158805 -23.659306855943274))"
40082,-23.573,-51.442,41827,"POLYGON ((-51.352168471588044 -23.655309367533274, -51.352168471588044 -23.490639007307973, -51.53183152841195 -23.490639007307973, -51.53183152841195 -23.655309367533274, -51.352168471588044 -23.655309367533274))"
40085,-23.949,-52.454,3121,"POLYGON ((-52.36416847158805 -24.03107152793494, -52.36416847158805 -23.866876222743077, -52.54383152841195 -23.866876222743077, -52.54383152841195 -24.03107152793494, -52.36416847158805 -24.03107152793494))"
40086,-23.393,-50.849,7321,"POLYGON ((-50.75916847158803 -23.475421974081428, -50.75916847158803 -23.3105267027157, -50.938831528411946 -23.3105267027157, -50.938831528411946 -23.475421974081428, -50.75916847158803 -23.475421974081428))"
40089,-23.224,-51.651,12044,"POLYGON ((-51.56116847158805 -23.30652695940855, -51.56116847158805 -23.141422002736025, -51.74083152841195 -23.141422002736025, -51.74083152841195 -23.30652695940855, -51.56116847158805 -23.30652695940855))"
40091,-24.012,-51.984,2728,"POLYGON ((-51.894168471588046 -24.094031331483148, -51.894168471588046 -23.92991631549178, -52.07383152841195 -23.92991631549178, -52.07383152841195 -24.094031331483148, -51.894168471588046 -24.094031331483148))"
40093,-24.611,-53.332,9839,"POLYGON ((-53.242168471588045 -24.692644203497974, -53.242168471588045 -24.529302470192963, -53.42183152841195 -24.529302470192963, -53.42183152841195 -24.692644203497974, -53.242168471588045 -24.692644203497974))"
40094,-23.262,-51.272,60744,"POLYGON ((-51.18216847158804 -23.344503415721, -51.18216847158804 -23.179445482107468, -51.36183152841195 -23.179445482107468, -51.36183152841195 -23.344503415721, -51.18216847158804 -23.344503415721))"
40095,-23.305,-51.265,20735,"POLYGON ((-51.17516847158805 -23.387476730453727, -51.17516847158805 -23.222472094704422, -51.35483152841195 -23.222472094704422, -51.35483152841195 -23.387476730453727, -51.17516847158805 -23.387476730453727))"
40096,-23.99,-52.371,32030,"POLYGON ((-52.281168471588046 -24.072045379600695, -52.281168471588046 -23.907902303559272, -52.46083152841195 -23.907902303559272, -52.46083152841195 -24.072045379600695, -52.281168471588046 -24.072045379600695))"
40097,-23.997,-52.341,35213,"POLYGON ((-52.25116847158805 -24.079040911055863, -52.25116847158805 -23.91490676058734, -52.43083152841195 -23.91490676058734, -52.43083152841195 -24.079040911055863, -52.25116847158805 -24.079040911055863))"
40099,-25.585,-52.036,2149,"POLYGON ((-51.94616847158805 -25.66599570287569, -51.94616847158805 -25.503949438172096, -52.12583152841195 -25.503949438172096, -52.12583152841195 -25.66599570287569, -51.94616847158805 -25.66599570287569))"
